Start,End,Category,Descriptors,,
00:00,0,00:05,3,Start,
00:00,3,00:12,53,Q1,
00:09,20,00:52,87,Own BS2,75 Press - TO
00:49,3,01:14,3,Own TO2,Left - BS 3
00:56,57,01:22,57,OPP BS3,Full Press - TO
01:14,93,01:39,93,OPP TO3,Left - Counterattack
01:07,50,01:37,50,Own counter attack,A25e
01:19,63,01:38,63,Own  A25 E,Left - BS 4
01:29,50,01:55,50,Own BS4,CP
01:23,3,01:56,3,Own Circle possesion,Left - TO C
01:42,27,02:07,27,Own TO C,Counterattack
01:30,57,02:00,57,Opp Counter Attack,TO
01:47,73,02:12,73,OPP TO3,Right - Counterattack
01:38,97,02:08,97,Own counter attack,A25e
01:59,37,02:18,37,Own  A25 E,Left - CP
01:54,53,02:27,53,Own Circle possesion,Left - Retain - BS 4
02:14,87,02:40,87,Own BS4,Retain - BS 4
02:37,3,03:08,13,Own BS4,Own HB ATT - A25e
02:59,87,03:25,77,Own  A25 E,Left - Retain
03:22,57,03:42,57,Own HB ATT,A25e
03:34,33,04:00,33,Own BS4,TO
03:33,23,03:52,23,Own  A25 E,Left - BS 4
03:37,30,04:02,30,Own TO4,Left - Counterattack
03:24,30,03:54,30,Opp Counter Attack,TO
03:43,73,04:08,73,OPP TO3,Centre Top - Counterattack
03:33,63,04:03,63,Own counter attack,
03:43,50,04:02,50,Own  A25 E,Left - CP
03:36,33,04:09,33,Own Circle possesion,Left - TO C
03:54,90,04:19,90,Own TO C,TO
04:06,20,04:31,20,OPP TO2,Right - BS 3
04:09,93,04:35,93,Own BS3,TO - 75 Press
04:19,23,04:44,23,Own TO4,Right - BS 1
04:23,83,04:49,83,OPP BS1,Bowl press - A25e - TO
04:37,67,05:02,67,OPP TO4,Centre Top - BS 1
04:43,97,05:09,97,Own BS1,75 Press - TO
04:54,3,05:19,3,Own TO3,Left - TO
04:58,27,05:23,27,OPP TO2,Right - TO
05:07,23,05:32,23,Own TO4,Centre Top - BS 1
05:14,60,05:40,60,OPP BS1,75 Press - Retain - BS 2 - Bowl press
05:41,7,06:07,7,OPP BS2,Full Press - TO
05:48,97,06:13,97,OPP TO2,Right - Counterattack
