Start,End,Category,Descriptors,,
05:37,40,06:07,40,Own counter attack,A25e
05:46,40,06:05,40,Own  A25 E,Left - CP
05:35,40,06:08,40,Own Circle possesion,Left - GSO - TO C
05:43,13,06:08,13,Own GSO,off target
05:57,40,06:22,40,Own TO C,BS 1
06:04,90,06:35,7,OPP BS1,Bowl press - 75 Press - TO
06:32,73,06:57,73,OPP TO4,Right - BS 1
06:52,83,07:33,73,Own BS1,75 Press - A25e
07:25,10,07:44,10,Own  A25 E,Right - TO
07:32,63,07:57,63,Own TO4,Right - Counterattack
07:21,70,07:51,70,Opp Counter Attack,TO
07:39,93,08:04,93,OPP TO4,Centre Top - TO
07:44,7,08:09,7,Own TO3,Centre Top - Counterattack
07:32,90,08:02,90,Opp Counter Attack,TO
07:56,10,08:21,10,OPP TO4,Centre Top - Counterattack
07:46,90,08:18,0,Own counter attack,A25e
08:09,73,08:28,73,Own  A25 E,Centre Top - CP
08:00,63,08:33,63,Own Circle possesion,BLine R - Retain
08:09,43,08:42,43,Own Circle possesion,Left - TO C
08:30,0,08:55,0,Own TO C,Counterattack
08:17,20,08:47,20,Opp Counter Attack,TO
08:43,23,09:08,23,Own TO4,Right - BS 1
08:57,57,09:57,10,Own BS2,Deep Press - A25e
09:48,10,10:07,10,Own  A25 E,Right - CP
09:37,10,10:10,10,Own Circle possesion,Centre Top - TO C
09:52,97,10:18,97,OPP BS1,Full Press - TO
09:55,7,10:20,7,Own TO C,BS 1
10:02,27,10:27,27,OPP TO2,Left - TO
10:06,53,10:31,53,Own TO4,Right - Counterattack
09:56,67,10:26,67,Opp Counter Attack,TO
10:13,53,10:38,53,OPP TO3,Left - TO
10:21,20,10:46,20,Own TO2,Left - BS 3
10:25,13,10:51,13,OPP BS3,Full Press - TO
10:32,30,10:57,30,OPP TO2,Right - BS 3
10:36,40,11:02,40,Own BS3,Full Press - A25e
10:39,37,10:58,37,Own  A25 E,Centre Top - TO
10:45,60,11:10,60,Own TO4,Centre Top - BS 1
10:45,57,11:11,57,OPP BS1,75 Press - Retain
11:03,30,11:28,30,OPP Outlet,Bowl press - Retain
11:15,67,11:41,67,OPP BS2,Full Press - Retain
11:21,10,11:47,10,OPP BS2,Full Press - Retain - BS 3
11:32,63,11:58,63,OPP BS3,Outlet - TO
11:44,10,12:09,10,OPP TO3,Left - Counterattack
11:32,90,12:02,90,Own counter attack,A25e
11:44,80,12:03,80,Own  A25 E,Right - TO
11:54,87,12:19,87,Own TO4,Centre Top - BS 2
12:10,27,12:36,27,OPP BS2,TO
12:19,90,12:44,90,OPP TO4,Left - BS 1
12:24,67,13:26,30,Own BS1,75 Press - Retain
13:33,50,13:59,50,Own BS3,Deep Press - TO
13:42,3,14:07,3,Own TO3,Left - TO
13:43,33,14:08,33,OPP TO3,Right - BS 2
13:52,70,14:18,70,Own BS2,Deep Press - A25e
14:03,20,14:22,20,Own  A25 E,Left - TO
14:11,47,14:36,47,Own TO4,Left - TO
14:17,30,14:42,30,OPP TO2,Right - BS 3
14:20,13,14:46,13,Own BS3,Own HB ATT - A25e
14:26,90,14:45,90,Own  A25 E,Left - Retain
14:40,27,15:00,27,Own HB ATT,A25e
14:37,0,14:56,0,Own  A25 E,Centre Top - CP
14:26,0,14:59,0,Own Circle possesion,Right - GSO - TO C
14:35,10,15:00,10,Own GSO,off target
14:49,47,15:14,47,Own TO C,BS 1
15:00,13,15:29,30,OPP BS1,75 Press - Bowl press - Breach - TO
15:25,83,15:50,83,OPP TO4,Right - BS 1
15:39,80,16:05,80,Own BS1,75 Press - A25e
15:51,0,16:10,0,Own  A25 E,Right - CP
15:46,17,16:19,17,Own Circle possesion,BLine R - TO C
16:03,63,16:28,63,Own TO C,BS 2
16:13,10,16:39,10,OPP BS2,75 Press - Full Press - TO
16:28,97,16:53,97,OPP TO3,Left - BS 2
16:34,60,17:00,60,Own BS2,Deep Press - A25e
16:43,13,17:02,13,Own  A25 E,Right - BS 4
16:58,33,17:24,33,Own BS4,Own HB ATT - A25e
17:02,53,17:21,53,Own  A25 E,Left - CP
16:53,80,17:26,80,Own Circle possesion,Bline L - TO C
17:11,70,17:36,70,Own TO C,BS 1
17:24,3,17:50,3,OPP BS1,75 Press - Bowl press - TO
17:47,0,18:12,0,OPP TO2,Left - BS 3
17:49,40,18:15,40,Own BS3,Deep Press - Retain
18:02,13,24:10:00,87,Q2,75 Press - A25e - Right - TO - Right - Counterattack - A25e - Left - TO - Centre Top - BS 1 - 75 Press - TO - Left - BS 3 - 75 Press - TO - Left - BS 1 - 75 Press - TO - Left - Outlet - TO - Left - BS 2 - 75 Press - TO - Left - Counterattack - TO - Right - BS 1 - 75 Press - A25e - Right - BS 4 - Own HB ATT - A25e - Centre Top - BS 4 - CP - Bline L - Retain - TO - Centre Top - BS 1 - Full Press - Bowl press - Retain - Full Press - A25e - Left - CP - Left - GSO - on target - scored - Goal - 75 Press - TO - Left - TO - Left - BS 3 - 75 Press - A25e - Left - TO - Centre Top - Counterattack - TO - Centre Top - BS 2 - 75 Press - A25e - Left - TO - Left - Counterattack - TO - TO - Left - Counterattack - A25e - Right - CP - Right - TO C - Retain - BS 1
17:57,7,18:23,7,Own BS2,75 Press - A25e
18:13,17,18:32,17,Own  A25 E,Right - TO
18:20,43,18:45,43,Own TO4,Right - Counterattack
18:10,47,18:40,47,Opp Counter Attack,A25e
18:25,87,18:44,87,Opp A25 E,Left - TO
18:35,77,19:00,77,OPP TO4,Centre Top - BS 1
18:43,43,19:09,43,Own BS1,75 Press - TO
18:49,57,19:14,57,Own TO2,Left - BS 3
18:58,57,19:24,57,OPP BS3,75 Press - TO
19:12,37,19:37,37,OPP TO4,Left - BS 1
19:17,17,19:43,17,Own BS1,75 Press - TO
19:30,10,19:55,10,Own TO3,Left - Outlet - TO
19:41,53,20:06,53,OPP TO3,Left - BS 2
19:52,80,20:18,80,Own BS2,75 Press - TO
20:04,93,20:29,93,Own TO3,Left - Counterattack
19:54,67,20:24,67,Opp Counter Attack,TO
20:13,97,20:38,97,OPP TO4,Right - BS 1
20:30,7,20:56,7,Own BS1,75 Press - A25e
20:37,63,20:56,63,Own  A25 E,Right - BS 4
20:51,40,21:17,40,Own BS4,Own HB ATT - A25e
21:05,63,21:24,63,Own  A25 E,Centre Top - BS 4
21:09,53,21:35,53,Own BS4,CP
21:00,10,21:33,10,Own Circle possesion,Bline L - Retain
21:19,27,21:39,27,Own HB ATT,TO
21:27,67,21:52,67,Own TO4,Centre Top - BS 1
21:38,20,22:04,20,OPP BS1,Full Press - Bowl press - Retain
21:50,33,22:16,33,OPP BS1,Full Press - A25e
21:52,73,22:11,73,Opp A25 E,Left - CP
21:42,13,22:16,13,Opp Circle Possession,Left - GSO - Goal
21:07,63,22:12,63,Motivation,
21:51,97,22:16,97,Opp GSO,on target - scored
21:53,97,22:13,97,Opp Goal,
22:14,90,22:40,90,Own BS2,75 Press - TO
22:31,83,22:56,83,Own TO3,Left - TO
22:48,97,23:14,97,Own BS3,75 Press - A25e
22:50,97,23:15,97,OPP TO2,Left - BS 3
22:50,97,23:09,97,Own  A25 E,Left - TO
23:02,80,23:27,80,Own TO4,Centre Top - Counterattack
22:51,47,23:21,47,Opp Counter Attack,TO
23:10,3,23:35,3,OPP TO3,Centre Top - BS 2
23:12,50,23:38,50,Own BS2,75 Press - A25e
23:16,0,23:35,0,Own  A25 E,Left - TO
23:22,53,23:47,53,Own TO4,Left - Counterattack
23:11,87,23:49,27,Opp Counter Attack,TO
23:45,40,24:10:00,40,OPP TO3,Left - Counterattack
23:36,37,24:06:00,37,Own counter attack,A25e
23:56,10,24:15:00,10,Own  A25 E,Right - CP
23:48,23,24:21:00,23,Own Circle possesion,Right - Retain - Long corner
24:39:00,80,25:05:00,80,Own BS4,Own HB ATT - Retain
25:00:00,33,25:26:00,33,Own BS4,Retain
25:15:00,3,25:41:00,3,Own BS4,Own HB ATT - CP
25:08:00,80,25:41:00,80,Own Circle possesion,Right - Retain
25:47:00,13,26:12:00,13,Own TO4,Right - BS 1
25:47:00,70,26:13:00,70,OPP BS1,75 Press - Bowl press - TO
25:54:00,40,26:19:00,40,OPP TO2,Left - BS 3
25:59:00,50,26:25:00,50,Own BS3,Deep Press - Retain
26:19:00,53,26:45:00,53,Own BS4,Own HB ATT - A25e
26:22:00,23,26:41:00,23,Own  A25 E,Left - CP
26:14:00,23,26:47:00,23,Own Circle possesion,Left - PCW
26:34:00,40,26:44:00,40,Own PCW,
27:25:00,73,27:37:00,73,Own PCA,Retain
27:39:00,17,28:05:00,17,Own BS4,TO
27:48:00,67,28:13:00,67,Own TO4,Centre Top - Counterattack
27:37:00,17,28:07:00,17,Opp Counter Attack,A25e
27:50:00,87,28:09:00,87,Opp A25 E,TO
28:03:00,80,28:28:00,80,OPP TO4,Centre Top - Counterattack
27:53:00,0,28:23:00,0,Own counter attack,A25e
28:06:00,3,28:25:00,3,Own  A25 E,Centre Top - CP
27:59:00,77,28:32:00,77,Own Circle possesion,Centre Top - TO C
28:17:00,37,28:42:00,37,Own TO C,BS 1
28:29:00,70,28:55:00,70,OPP BS1,Bowl press - TO
28:34:00,30,28:59:00,30,OPP TO2,Centre Top - Counterattack
28:22:00,93,28:52:00,93,Own counter attack,A25e
28:33:00,0,28:52:00,0,Own  A25 E,Centre Top - CP
28:23:00,73,28:56:00,73,Own Circle possesion,Centre Top - Retain
28:25:00,90,28:58:00,90,Own Circle possesion,Left - GSO - Retain
28:32:00,83,28:57:00,83,Own GSO,on target - saved
28:53:00,23,29:19:00,23,Own BS4,CP
28:42:00,3,29:15:00,3,Own Circle possesion,BLine R - TO C
29:03:00,77,29:28:00,77,Own TO C,Counterattack
28:51:00,23,29:21:00,23,Opp Counter Attack,A25e
29:08:00,93,29:27:00,93,Opp A25 E,Right - TO
29:16:00,40,29:41:00,40,OPP TO4,Right - TO
29:26:00,43,29:51:00,43,Own TO4,Right - Counterattack
29:20:00,17,29:50:00,17,Opp Counter Attack,TO
29:39:00,20,30:04:00,20,OPP TO3,Centre Top - BS 3
29:51:00,0,30:27:00,80,Own BS3,75 Press - Retain
30:32:00,33,30:58:00,33,Own BS4,Own HB ATT - TO
30:43:00,20,31:08:00,20,Own TO4,BS 1 - Centre Top
30:55:00,20,31:21:00,20,OPP BS1,75 Press - Bowl press - TO
31:08:00,13,31:33:00,13,OPP TO2,Right - BS 3
31:14:00,77,31:40:00,77,Own BS3,75 Press - TO
31:21:00,90,31:46:00,90,Own TO4,Centre Top - Counterattack
31:12:00,57,31:42:00,57,Opp Counter Attack,A25e
31:25:00,93,31:44:00,93,Opp A25 E,Left - CP
31:17:00,87,31:51:00,87,Opp Circle Possession,Left - Retain
31:43:00,23,32:09:00,23,OPP BS4,TO
31:54:00,3,32:19:00,3,OPP TO4,Right - BS 1
31:54:00,90,32:53:00,0,Own BS1,Deep Press - A25e
32:44:00,33,33:03:00,33,Own  A25 E,Right - TO
32:57:00,7,33:22:00,7,Own TO4,Centre Top - Counterattack
32:46:00,57,33:16:00,57,Opp Counter Attack,TO
33:07:00,93,33:32:00,93,OPP TO3,Left - Counterattack
32:56:00,80,33:30:00,0,Own counter attack,Outlet
33:30:00,77,33:55:00,77,Own Outlet,Deep Press - A25e
33:35:00,33,33:54:00,33,Own  A25 E,Right - PCW
33:46:00,57,33:56:00,57,Own PCW,
34:36:00,80,34:48:00,80,Own PCA,
34:28:00,70,34:53:00,70,Own GSO,on target - saved
34:42:00,70,35:07:00,70,Own TO C,BS 1
34:54:00,47,35:20:00,47,OPP BS1,75 Press - Bowl press - TO
34:59:00,10,35:24:00,10,OPP TO2,Left - BS 3
35:01:00,50,35:27:00,50,Own BS3,A25e
35:00:00,37,35:19:00,37,Own  A25 E,Right - BS 4
35:12:00,7,35:38:00,7,Own BS4,Own HB ATT - TO
35:24:00,40,35:49:00,40,Own TO4,Centre Top - BS 1
35:42:00,10,36:08:00,10,OPP BS1,75 Press
36:07:00,60,36:35:00,77,OPP BS2,75 Press - TO
36:14:00,13,54:29:00,93,Q3,75 Press - TO - Centre Top - BS 2 - Deep Press - TO - Right - Right - TO - Left - TO - BLine R - PCW - GSO - on target - saved - on target - saved - PCW - on target - saved - 75 Press - TO - Centre Top - TO - Left - BS 2 - Full Press - Retain - BS 2 - Deep Press - A25e - Left - BS 4 - Retain - Opp HB ATT - TO - Right - Counterattack - TO - Left - Breach - Counterattack - Counterattack - A25e - Centre Top - BS 4 - TO - Centre Top - BS 1 - 75 Press - Retain - BS 3 - Full Press - A25e - Left - Retain - A25e - Centre Top - CP - Centre Top - GSO - on target - saved - TO C - TO - Right - BS 2 - Deep Press - TO - Right - BS 3 - 75 Press - Deep Press - TO - Right - BS 3 - A25e - Right - CP - Right - PCW - GSO - on target - saved - PCW - Goal - on target - scored - 75 Press - TO - Right - Counterattack - BS 3 - 75 Press - TO - Left - BS 1 - 75 Press - Bowl press - TO - Right - BS 3 - Deep Press - TO - Right - BS 2 - Full Press - TO - Left - BS 1 - 75 Press - A25e - Centre Top - CP - Right - PCW - on target - saved - off target - BS 1 - Deep Press - TO - Right - Counterattack - A25e - Left - CP - Left - GSO - on target - scored - 75 Press - TO - Left - BS 1 - Full Press - A25e - Right - CP - Right - PCW - BS 1 - Full Press - TO - Right - TO - BS 1 - Deep Press - A25e - Right - Retain - BS 4 - Retain - TO - Centre Top - Counterattack - A25e - Centre Top - Centre Top - CP - Centre Top - PCW - BS 1 - Right - Counterattack - Centre Top - BS 4 - Own HB ATT - A25e - Right - CP - BLine R - PCW - Bline L
36:31:00,50,36:56:00,50,OPP TO4,Centre Top - TO
36:42:00,67,37:07:00,67,Own TO4,Left - BS 2
36:47:00,17,37:13:00,17,OPP BS2,Full Press - Retain - BS 2
36:59:00,10,37:25:00,10,OPP BS2,Deep Press - A25e
37:10:00,3,37:29:00,3,Opp A25 E,Left - BS 4
37:20:00,63,37:46:00,63,OPP BS4,Retain
37:24:00,70,37:57:00,67,OPP BS4,Opp HB ATT - TO
37:54:00,13,38:19:00,13,OPP TO3,Right - Counterattack
37:42:00,67,38:12:00,67,Own counter attack,TO
38:01:00,10,38:26:00,10,Own TO2,Left - Counterattack
37:51:00,37,38:21:00,37,Opp Counter Attack,A25e
38:06:00,27,38:25:00,27,Opp A25 E,Centre Top - BS 4
38:17:00,23,38:43:00,23,OPP BS4,TO
38:24:00,40,38:49:00,40,OPP TO4,Centre Top - BS 1
38:33:00,20,39:11:00,53,Own BS1,75 Press - Retain - BS 3
39:05:00,83,39:31:00,83,Own BS3,Full Press - A25e
39:05:00,87,39:24:00,87,Own  A25 E,Left - Retain
39:21:00,47,39:41:00,47,Own HB ATT,A25e
39:33:00,47,39:52:00,47,Own  A25 E,Centre Top - CP
39:24:00,13,39:57:00,13,Own Circle possesion,Centre Top - GSO - TO C
39:27:00,80,39:52:00,80,Own GSO,on target - saved
39:45:00,30,40:10:00,30,Own TO C,TO
39:52:00,83,40:17:00,83,OPP TO3,Right - BS 2
40:07:00,37,40:33:00,37,Own BS2,Deep Press - TO
40:13:00,33,40:38:00,33,Own TO2,Right - BS 3
40:28:00,73,40:55:00,17,OPP BS3,Deep Press - TO
40:50:00,73,41:16:00,73,Own BS3,A25e
40:52:00,23,41:17:00,23,OPP TO2,Right - BS 3
40:52:00,3,41:11:00,3,Own  A25 E,Right - CP
40:44:00,87,41:17:00,87,Own Circle possesion,Right - PCW
41:01:00,43,41:11:00,43,Own PCW,
41:49:00,73,42:01:00,73,Own PCA,GSO
41:40:00,13,42:07:00,33,Own GSO,on target - saved - PCW
42:04:00,70,42:14:00,70,Own PCW,
42:43:00,97,42:55:00,97,Own PCA,Goal
42:33:00,7,42:58:00,7,Own GSO,on target - scored
42:36:00,37,42:56:00,37,Own Goal,
43:02:00,27,43:28:00,27,OPP BS2,75 Press - TO
43:13:00,23,43:38:00,23,OPP TO3,Right - Counterattack
43:05:00,97,43:35:00,97,Own counter attack,BS 3
43:31:00,63,43:57:00,63,Own BS3,75 Press - TO
43:52:00,93,44:17:00,93,Own TO4,Left - BS 1
43:54:00,40,44:20:00,40,OPP BS1,75 Press - Bowl press - TO
44:03:00,27,44:28:00,27,OPP TO2,Right - BS 3
44:05:00,90,44:33:00,63,Own BS3,Deep Press - TO
44:30:00,10,44:55:00,10,Own TO3,Right - BS 2
44:40:00,80,45:06:00,80,OPP BS2,Full Press - TO
44:49:00,90,45:14:00,90,OPP TO4,Left - BS 1
44:57:00,40,45:23:00,40,Own BS1,75 Press - A25e
45:11:00,7,45:30:00,7,Own  A25 E,Centre Top - CP
45:06:00,67,45:39:00,67,Own Circle possesion,Right - PCW
45:26:00,97,45:36:00,97,Own PCW,
46:11:00,47,46:23:00,47,Own PCA,
45:57:00,53,46:22:00,53,Own GSO,on target - saved
46:03:00,50,46:28:00,50,Own GSO,off target
46:15:00,50,46:40:00,50,Own TO C,BS 1
46:29:00,40,46:55:00,40,OPP BS1,Deep Press - TO - Bowl press
46:46:00,33,47:11:00,33,OPP TO3,Right - Counterattack
46:35:00,7,47:05:00,7,Own counter attack,A25e
46:45:00,63,47:04:00,63,Own  A25 E,Left - CP
46:36:00,30,47:09:00,30,Own Circle possesion,Left - GSO
46:40:00,7,47:05:00,7,Own GSO,on target - scored
46:42:00,7,47:02:00,7,Own Goal,
47:21:00,0,47:53:00,50,OPP BS2,75 Press - TO
47:49:00,27,48:14:00,27,OPP TO4,Left - BS 1
47:57:00,7,48:23:00,7,Own BS1,Full Press - A25e
48:02:00,83,48:21:00,83,Own  A25 E,Right - CP
47:58:00,60,48:31:00,60,Own Circle possesion,Right - PCW
48:15:00,90,48:25:00,90,Own PCW,
49:01:00,47,49:13:00,47,Own PCA,
49:02:00,53,49:27:00,53,Own TO C,BS 1
49:01:00,53,49:27:00,53,OPP BS1,Full Press - TO - Bowl press
48:52:00,73,49:22:00,73,Opp Counter Attack,TO
49:11:00,23,49:36:00,23,OPP TO4,Right - BS 1
49:24:00,60,49:50:00,60,Own BS2,Deep Press - A25e
49:34:00,50,50:00:00,63,Own  A25 E,Right - Retain - BS 4
49:55:00,7,50:21:00,7,Own BS4,Retain
50:03:00,17,50:29:00,17,Own BS4,TO
50:11:00,37,50:36:00,37,Own TO4,Centre Top - Counterattack
50:05:00,63,50:35:00,63,Opp Counter Attack,A25e
50:17:00,80,50:36:00,80,Opp A25 E,Centre Top - CP
50:11:00,50,50:45:00,50,Opp Circle Possession,Centre Top - PCW
50:29:00,17,50:39:00,17,OPP PCW,
51:27:00,90,51:39:00,90,Own PCD,
51:33:00,80,51:58:00,80,OPP TO C,BS 1
51:35:00,33,52:02:00,17,Own BS1,75 Press - TO
51:58:00,13,52:23:00,13,Own TO3,Centre Top - BS 2
52:04:00,27,52:30:00,27,OPP BS2,Deep Press - TO
52:15:00,60,52:40:00,60,OPP TO3,Right - TO
52:22:00,47,52:47:00,47,Own TO3,Left - TO
52:27:00,40,52:52:00,40,OPP TO2,Right - Counterattack
52:17:00,87,52:47:00,87,Own counter attack,
52:27:00,10,52:46:00,10,Own  A25 E,Centre Top - BS 4
52:41:00,50,53:07:00,50,Own BS4,Own HB ATT - A25e
52:50:00,50,53:09:00,50,Own  A25 E,Right - CP
52:41:00,47,53:14:00,47,Own Circle possesion,BLine R - PCW
53:01:00,77,53:11:00,77,Own PCW,
53:45:00,83,53:57:00,83,Own PCA,GSO
53:32:00,77,53:57:00,77,Own GSO,on target - saved
53:34:00,23,53:59:00,23,Own GSO,on target - saved - PCW
53:49:00,73,53:59:00,73,Own PCW,
54:15:00,47,54:27:00,47,Own PCA,
54:01:00,77,54:26:00,77,Own GSO,on target - saved
54:17:00,33,54:42:00,33,Own TO C,
54:29:00,93,54:49:00,90,Q4,TO - Right - BS 3 - 75 Press
54:26:00,30,54:52:00,30,OPP BS2,75 Press - TO
54:38:00,23,55:03:00,23,OPP TO3,Right - BS 3
54:44:00,73,54:54:00,73,Attitude,
54:44:00,90,55:10:00,90,Own BS3,75 Press - TO
55:02:00,90,55:27:00,90,Own TO4,Left - BS 1
55:12:00,73,55:40:00,20,OPP BS1,Deep Press - TO - Bowl press
55:35:00,87,56:00:00,87,OPP TO3,Right - Outlet
55:40:00,27,56:05:00,27,Own Outlet,A25e
55:51:00,70,56:10:00,70,Own  A25 E,Right - CP
55:42:00,37,56:15:00,37,Own Circle possesion,Right - GSO - PCW
55:49:00,53,56:14:00,53,Own GSO,on target - saved
56:03:00,37,56:13:00,37,Own PCW,
56:53:00,63,57:05:00,63,Own PCA,
56:41:00,0,57:06:00,0,Own GSO,on target - saved
57:00:00,23,57:10:00,23,Own PCW,
57:31:00,10,57:43:00,10,Own PCA,
57:18:00,50,57:43:00,50,Own GSO,on target - saved
57:40:00,17,58:06:00,17,Own BS4,Own HB ATT - Retain - BS 4
57:57:00,77,58:23:00,77,Own BS4,CP
58:01:00,70,58:21:00,70,Own HB ATT,CP
57:52:00,43,58:25:00,43,Own Circle possesion,Centre Top - TO C
58:13:00,13,58:38:00,13,Own TO C,TO
58:16:00,23,58:41:00,23,OPP TO4,Left - BS 1
58:30:00,77,58:57:00,17,Own BS1,75 Press - A25e
58:48:00,70,59:07:00,70,Own  A25 E,Centre Top - BS 4
59:07:00,67,59:33:00,67,Own BS4,TO
59:16:00,3,59:41:00,3,Own TO4,Centre Top - TO
59:27:00,30,59:52:00,30,OPP TO2,Left - BS 3
59:26:00,30,59:52:00,30,Own BS3,75 Press - A25e
59:27:00,7,59:52:00,30,Own  A25 E,Left - Retain - Outlet
59:46:00,10,60:11:00,10,Own Outlet,75 Press - TO
59:53:00,90,60:18:00,90,Own TO3,Centre Top - Counterattack
59:45:00,90,60:15:00,90,Opp Counter Attack,A25e
59:57:00,87,60:17:00,23,Opp A25 E,Right - TO
60:13:00,17,60:38:00,17,OPP TO3,Right - Counterattack
60:01:00,7,60:31:00,7,Own counter attack,A25e
60:17:00,27,60:36:00,27,Own  A25 E,Right - BS 4
60:25:00,83,60:51:00,83,Own BS4,Own HB ATT - CP
60:18:00,93,60:51:00,93,Own Circle possesion,Left - TO C
60:44:00,20,61:09:00,20,Own TO C,BS 1
60:53:00,7,61:19:00,7,OPP BS1,75 Press - Bowl press - A25e
61:02:00,83,61:21:00,83,Opp A25 E,Centre Top - CP
60:52:00,53,61:26:00,53,Opp Circle Possession,Right - GSO - Goal
60:15:00,57,61:20:00,57,Motivation,
60:58:00,63,61:23:00,63,Opp GSO,on target - scored
61:00:00,63,61:20:00,63,Opp Goal,
61:27:00,27,61:56:00,7,Own BS2,75 Press - A25e
61:47:00,7,62:06:00,7,Own  A25 E,Centre Top - CP
61:36:00,7,62:09:00,7,Own Circle possesion,Centre Top - GSO - TO C
61:41:00,57,62:06:00,57,Own GSO,off target
61:56:00,70,62:21:00,70,Own TO C,BS 1
62:23:00,83,62:49:00,83,OPP BS1,75 Press - Bowl press - Retain
62:41:00,90,63:07:00,90,OPP BS1,75 Press - Bowl press - A25e
62:45:00,70,63:04:00,70,Opp A25 E,Left - CP
62:36:00,37,63:10:00,37,Opp Circle Possession,Left - GSO - PCW
62:45:00,17,63:10:00,17,Opp GSO,on target - saved
62:57:00,17,63:12:00,17,OPP PSW,
63:17:00,7,63:42:00,7,Opp GSO,on target - scored
63:19:00,7,63:39:00,7,Opp Goal,
63:29:00,10,63:39:00,10,OPP PS,on target - scored
62:35:00,47,63:40:00,47,Motivation,
63:48:00,70,64:16:00,60,Own BS2,75 Press - TO
64:12:00,57,64:37:00,57,Own TO3,Left - BS 2
64:16:00,3,64:42:00,3,OPP BS2,Full Press - TO
64:20:00,20,64:45:00,20,OPP TO4,Centre Top - BS 1
64:31:00,90,65:03:00,37,Own BS1,75 Press - Retain - BS 3
64:57:00,73,65:23:00,73,Own BS3,75 Press - A25e
64:57:00,67,65:16:00,67,Own  A25 E,Left - CP
64:49:00,77,65:22:00,77,Own Circle possesion,Bline L - TO C
65:08:00,80,65:33:00,80,Own TO C,BS 1
65:13:00,87,65:39:00,87,OPP BS1,75 Press - Bowl press - TO
65:20:00,20,65:45:00,20,OPP TO2,Right - BS 3
65:19:00,20,65:45:00,20,Own BS3,Full Press - A25e
65:19:00,87,65:38:00,87,Own  A25 E,Left - CP
65:11:00,7,65:44:00,7,Own Circle possesion,Bline L - Retain
65:16:00,97,65:49:00,97,Own Circle possesion,Centre Top - TO C
65:35:00,10,66:00:00,10,Own TO C,BS 1
65:51:00,37,66:17:00,37,OPP BS1,75 Press - Bowl press - TO
66:00:00,50,66:25:00,50,OPP TO2,Right - BS 3
66:19:00,23,66:45:00,23,Own BS3,Deep Press - A25e
66:29:00,83,66:48:00,83,Own  A25 E,Right - Retain
66:37:00,93,66:57:00,93,Own HB ATT,A25e
66:38:00,87,66:57:00,87,Own  A25 E,Centre Top - CP
66:29:00,27,67:02:00,27,Own Circle possesion,Centre Top - Retain
66:52:00,3,67:18:00,3,Own BS4,CP
66:40:00,50,67:13:00,50,Own Circle possesion,Left - Retain
67:20:00,53,67:46:00,53,Own BS4,TO
67:32:00,93,67:57:00,93,Own TO4,Centre Top - BS 1
67:35:00,17,68:01:00,17,OPP BS1,75 Press - Bowl press - TO
67:44:00,7,68:09:00,7,OPP TO2,Right - BS 2
67:58:00,40,68:24:00,40,Own BS2,Deep Press - A25e
67:58:00,33,68:17:00,33,Own  A25 E,Left - Retain
68:06:00,37,68:25:00,37,Own  A25 E,Left - TO
68:15:00,0,68:40:00,0,Own TO4,Left - BS 1
68:20:00,37,68:46:00,37,OPP BS1,75 Press - Bowl press - TO
68:30:00,80,68:55:00,80,OPP TO2,Right - Counterattack
