Start,End,Category,Descriptors,,
20:59,48,46:29:00,96,Q2,75 Press - Retain - 75 Press - TO - Left - Full Press - TO - Right - Left - CP - Centre Top - PCW - Retain - Retain - TO - Left - Counterattack - TO - Left - 75 Press - TO - Left - Right - 75 Press - Retain - 75 Press - A25e - Left - TO - Left - Full Press - Outlet - Deep Press - A25e - Left - Retain - A25e - Centre Top - CP - Centre Top - PCW - TO C - Full Press - TO - Right - 75 Press - Deep Press - TO - Left - Counterattack - Retain - 75 Press - Breach - Full Press - TO - Right - Counterattack - TO - Left - Right - Counterattack - A25e - Left - CP - Bline L - TO C - Counterattack - Breach - TO - Right - Counterattack - Retain - Deep Press - A25e - Centre Top - BS 4 - A25e - Right - A25e - Left - TO - Right - Full Press - Breach - A25e - Left - TO - Left - Breach - TO - Right - Counterattack - TO - Centre Top - Counterattack - A25e - Right - TO - Right - Retain - A25e - Right - TO - Right - Counterattack - Breach - TO - Left - 75 Press - TO - Left - Right - Deep Press - Breach - TO - Right - Full Press - Breach - 75 Press - Breach - A25e - Retain - CP - BLine R - Retain - Deep Press - A25e - Left - CP - Bline L - TO - TO C - Full Press - Retain - 75 Press - TO - Centre Top - Counterattack - Breach - A25e - TO - Left - Centre Top - 75 Press - TO - Left - Counterattack - A25e - Centre Top - TO - Centre Top - 75 Press - TO - TO - Centre Top - 75 Press - TO - Left - 75 Press - TO - Left - Right - Counterattack - Counterattack - Breach - A25e - Left - TO - Centre Top - Deep Press - Breach - A25e - Left - BS 4 - Left - TO - Left - Full Press - TO - Right - 75 Press - TO - Centre Top - A25e - Right - Left - Full Press - TO - Centre Top - 75 Press - TO - Right
20:54,4,21:20,4,Own BS2,75 Press - Retain
21:13,64,21:39,64,Own BS2,75 Press - TO
21:20,12,21:45,12,Own TO3,Left
21:27,92,21:52,92,Opp Outlet,Full Press - TO
21:29,52,21:48,52,Own  A25 E,Left - CP
21:33,12,21:58,12,Opp TO2,Right
21:22,52,21:55,52,Own Circle possesion,Centre Top - Retain
21:41,20,22:07,20,Own BS4,Retain
22:04,96,22:30,96,Own BS4,TO
22:11,72,22:36,72,Own TO4,Left - Counterattack
22:02,76,22:32,76,Opp Counter Attack,TO
22:21,12,22:46,12,Opp TO3,Left
22:28,76,22:54,76,Own BS2,75 Press - TO
22:44,96,23:09,96,Own TO2,Left
22:47,96,23:12,96,Opp TO3,Right
22:50,68,23:15,68,Own Outlet,75 Press - Retain
23:04,40,23:36,24,Own BS3,75 Press - A25e
23:29,52,23:48,52,Own  A25 E,Left - TO
23:36,32,24:01:00,32,Own TO4,Left
23:50,48,24:16:00,48,Opp BS2,Full Press - Outlet
24:12:00,24,24:37:00,24,Opp Outlet,Deep Press - A25e
24:16:00,92,24:35:00,92,Opp A25 E,Left - Retain
24:26:00,32,24:46:00,32,Opp HB ATT,A25e
24:25:00,20,24:44:00,20,Opp A25 E,Centre Top - CP
24:17:00,68,24:51:00,68,Opp Circle Possession,Centre Top - PCW
24:37:00,52,24:47:00,52,Opp PCW,
25:27:00,20,25:42:00,96,Own PCD,TO C
25:38:00,28,26:03:00,28,Opp TO C,
25:54:00,72,26:20:00,72,Own BS1,Full Press - TO
26:12:00,76,26:37:00,76,Own TO2,Right
26:13:00,64,26:39:00,64,Opp BS3,Deep Press - TO
26:31:00,8,26:57:00,8,Own BS2,Retain - 75 Press - Breach
26:33:00,64,26:58:00,64,Opp TO3,Left
26:38:00,12,27:04:00,12,Own BS3,Full Press - TO
26:44:00,40,27:09:00,40,Own TO3,Right - Counterattack
26:33:00,44,27:03:00,44,Opp Counter Attack,TO
26:50:00,0,27:15:00,0,Opp TO3,Left
26:54:00,84,27:19:00,84,Own TO2,Right - Counterattack
26:41:00,84,27:11:00,84,Opp Counter Attack,A25e
26:53:00,84,27:12:00,84,Opp A25 E,Left - CP
26:46:00,40,27:20:00,40,Opp Circle Possession,Bline L - TO C
27:06:00,28,27:31:00,28,Opp TO C,Counterattack
26:57:00,84,27:27:00,84,Own counter attack,TO
27:20:00,12,27:45:00,12,Own TO3,Right - Counterattack
27:08:00,44,27:38:00,44,Opp Counter Attack,Retain
27:40:00,60,28:06:00,60,Opp BS3,Deep Press - A25e
27:42:00,80,28:01:00,80,Opp A25 E,Centre Top - BS 4
27:55:00,56,28:25:00,68,Opp BS4,A25e
28:01:00,56,28:21:00,56,Opp HB ATT,
28:16:00,68,28:35:00,68,Opp A25 E,Right - TO
28:25:00,40,28:50:00,40,Opp TO4,Centre Top
28:28:00,72,28:54:00,72,Own BS1,75 Press - TO
28:37:00,64,29:02:00,64,Own TO3,Left
28:45:00,40,29:18:00,36,Opp BS2,75 Press - TO
29:13:00,36,29:38:00,36,Opp TO4,Left
29:20:00,76,29:45:00,76,Own TO3,Right - Counterattack
29:10:00,96,29:40:00,96,Opp Counter Attack,A25e
29:21:00,4,29:40:00,4,Opp A25 E,Left - TO
29:32:00,36,29:57:00,36,Opp TO4,Right
29:42:00,36,30:08:00,36,Own BS1,Full Press - Breach - A25e
29:51:00,56,30:10:00,56,Own  A25 E,Left - TO
30:02:00,28,30:27:00,28,Own TO4,Left - Breach - TO
30:12:00,88,30:37:00,88,Opp TO3,Right
30:13:00,92,30:39:00,92,Own BS3,Counterattack - TO
30:22:00,88,30:47:00,88,Own TO4,Centre Top - Counterattack
30:12:00,72,30:42:00,72,Opp Counter Attack,A25e
30:33:00,8,30:52:00,8,Opp A25 E,Right - TO
30:48:00,88,31:13:00,88,Own TO4,Right - Counterattack
30:39:00,56,31:09:00,56,Own counter attack,Breach - A25e
30:54:00,60,31:13:00,60,Own  A25 E,Left - TO
31:02:00,40,31:27:00,40,Own TO4,Centre Top
31:12:00,16,31:38:00,16,Opp BS1,Deep Press - Breach - A25e
31:20:00,36,31:41:00,44,Opp A25 E,Left - BS 4
31:37:00,40,32:03:00,40,Opp BS4,Retain
31:59:00,96,32:25:00,96,Opp BS4,A25e
32:02:00,96,32:22:00,96,Opp HB ATT,
32:02:00,56,32:21:00,56,Opp A25 E,Right
32:16:00,44,32:36:00,44,Opp HB ATT,TO
32:25:00,84,32:50:00,84,Opp TO4,Right - Counterattack
32:15:00,40,32:45:00,40,Own counter attack,Breach - TO
32:38:00,52,33:03:00,52,Own TO4,Left
32:54:00,88,33:20:00,88,Opp BS1,75 Press - TO
33:06:00,64,33:31:00,64,Opp TO3,Left
33:09:00,48,33:34:00,48,Own TO3,Right
33:17:00,40,33:42:00,40,Opp Outlet,Deep Press - TO
33:24:00,4,33:49:00,4,Opp TO4,Right
33:28:00,72,33:54:00,72,Own BS1,Full Press - Breach
33:50:00,84,34:15:00,84,Own Outlet,75 Press - Breach - A25e
33:57:00,68,34:16:00,68,Own  A25 E,Left - TO
34:09:00,88,34:34:00,88,Own TO4,Left
34:15:00,68,34:41:00,68,Opp BS1,Full Press - TO
34:23:00,72,34:48:00,72,Opp TO2,Right
34:29:00,8,34:55:00,8,Own BS3,75 Press - TO
34:43:00,76,35:08:00,76,Own TO3,Centre Top
34:53:00,16,35:20:00,16,Opp BS3,A25e
34:57:00,0,35:16:00,0,Opp A25 E,Right - Retain
35:17:00,64,35:43:00,64,Opp BS4,CP
35:20:00,96,35:40:00,96,Opp HB ATT,
35:08:00,28,35:42:00,28,Opp Circle Possession,BLine R - Retain
35:36:00,12,36:02:00,12,Opp BS4,Deep Press - A25e
35:39:00,4,35:59:00,4,Opp HB ATT,
35:44:00,8,36:03:00,8,Opp A25 E,Left - CP
35:37:00,16,36:11:00,16,Opp Circle Possession,Bline L - TO - TO C
35:59:00,48,36:24:00,48,Opp TO C,
36:07:00,48,36:33:00,48,Own BS1,Full Press - Retain
36:17:00,28,36:43:00,28,Own BS2,75 Press - TO
36:22:00,96,36:47:00,96,Own TO3,Centre Top - Counterattack
36:11:00,4,36:41:00,4,Opp Counter Attack,Breach - TO
36:29:00,88,36:54:00,88,Opp TO3,Left
36:37:00,8,37:02:00,8,Own TO3,Centre Top
36:44:00,0,37:10:00,0,Opp BS2,75 Press - TO
36:53:00,72,37:18:00,72,Opp TO3,Left - Counterattack
36:45:00,48,37:15:00,48,Own counter attack,A25e
36:56:00,64,37:15:00,64,Own  A25 E,Centre Top - TO
37:08:00,80,37:33:00,80,Own TO4,Centre Top
37:14:00,96,37:40:00,96,Opp BS1,75 Press - TO
37:27:00,16,37:52:00,16,Opp TO4,Left
37:38:00,32,38:04:00,32,Own BS1,Full Press - TO
37:55:00,28,38:20:00,28,Own TO3,Centre Top
38:10:00,28,38:35:00,28,Opp Outlet,75 Press - TO
38:20:00,20,38:45:00,20,Opp TO4,Right
46:22:00,20,46:48:00,20,Opp BS2,75 Press - TO
