Start,End,Category,Descriptors,,
73:18:00,52,73:43:00,52,Own TO C,
73:29:00,52,73:55:00,52,Opp BS1,75 Press - Breach - A25e
73:41:00,4,74:00:00,4,Opp A25 E,Centre Top - CP
73:33:00,88,74:07:00,88,Opp Circle Possession,Right - TO C
73:57:00,24,74:22:00,24,Opp TO C,
74:15:00,84,74:41:00,84,Own BS2,75 Press - TO
74:25:00,64,74:50:00,64,Own TO3,Left
74:41:00,96,75:07:00,96,Opp BS2,Full Press - Retain
74:53:00,44,75:21:00,76,Opp BS4,A25e
75:04:00,92,75:24:00,92,Opp HB ATT,
75:13:00,40,75:32:00,40,Opp A25 E,Left - CP
75:07:00,76,75:41:00,76,Opp Circle Possession,Left - Retain
75:29:00,4,75:54:00,4,Opp TO4,Left
75:31:00,24,75:58:00,92,Own BS1,Full Press - TO
75:54:00,68,76:19:00,68,Own TO3,Left
75:56:00,64,76:22:00,64,Opp BS2,75 Press - TO
76:09:00,72,76:34:00,72,Opp TO3,Right
76:11:00,92,76:37:00,92,Own BS2,Full Press - Retain
76:19:00,20,76:45:00,20,Own BS2,Full Press - TO
76:24:00,64,76:49:00,64,Own TO3,Centre Top - Counterattack
76:13:00,36,76:43:00,36,Opp Counter Attack,A25e
76:25:00,84,76:44:00,84,Opp A25 E,Right - CP
76:17:00,24,76:51:00,24,Opp Circle Possession,Right - GSO - TO C
76:21:00,36,76:46:00,36,Opp GSO,off target
76:37:00,96,77:02:00,96,Opp TO C,
76:52:00,40,77:18:00,40,Own BS1,Full Press - TO
76:58:00,24,77:23:00,24,Own TO2,Centre Top
77:01:00,28,77:26:00,28,Opp TO4,Centre Top
77:08:00,40,77:34:00,40,Own BS1,Full Press - TO
77:13:00,72,77:38:00,72,Own TO2,Centre Top - Counterattack
77:02:00,68,77:32:00,68,Opp Counter Attack,A25e
77:12:00,40,77:31:00,40,Opp A25 E,CP - Centre Top
77:01:00,80,77:35:00,80,Opp Circle Possession,Right - Retain
77:29:00,48,77:55:00,48,Opp BS4,TO
77:40:00,48,78:05:00,48,Opp TO4,Left
77:44:00,28,78:10:00,28,Own BS1,Full Press - TO
77:53:00,84,78:18:00,84,Own TO2,Left
77:55:00,0,78:21:00,0,Opp BS3,Full Press - A25e
77:56:00,20,78:15:00,20,Opp A25 E,Right - TO
78:03:00,12,78:29:00,12,Opp TO4,Right
78:24:00,12,78:50:00,12,Own BS1,Full Press - TO
78:29:00,64,78:54:00,64,Own TO2,Left
78:31:00,60,78:50:00,60,Opp A25 E,Right - TO
78:44:00,72,79:09:00,72,Opp TO4,Centre Top - Counterattack
78:33:00,48,79:03:00,48,Own counter attack,Breach - A25e
78:48:00,52,79:07:00,52,Own  A25 E,Centre Top - TO
78:59:00,48,79:24:00,48,Own TO4,Centre Top - Counterattack
78:51:00,80,79:21:00,80,Opp Counter Attack,Breach - A25e
79:03:00,0,79:22:00,0,Opp A25 E,Right - TO
79:12:00,64,79:37:00,64,Opp TO4,Right
79:36:00,12,80:02:00,12,Own BS2,Deep Press - Retain
79:58:00,96,80:24:00,96,Own BS3,Deep Press - TO
80:13:00,12,80:38:00,12,Own TO4,Centre Top
80:29:00,84,80:55:00,84,Opp BS1,75 Press - TO
80:41:00,36,81:06:00,36,Opp TO3,Centre Top - Counterattack
80:30:00,8,81:00:00,8,Own counter attack,A25e
80:46:00,16,81:05:00,16,Own  A25 E,Right - CP
80:38:00,76,81:11:00,76,Own Circle possesion,Right - Retain
81:09:00,48,81:35:00,48,Own BS4,CP
80:58:00,16,81:31:00,16,Own Circle possesion,Right - PCW
81:13:00,16,81:23:00,16,Own PCW,
82:13:00,12,82:25:00,12,Own PCA,GSO
82:05:00,32,82:30:00,32,Own GSO,on target - saved
82:24:00,12,82:34:00,12,Own PCW,
83:02:00,36,83:14:00,36,Own PCA,
83:09:00,16,83:19:00,16,Own PCW,
83:37:00,52,83:49:00,52,Own PCA,
83:42:00,0,83:52:00,0,Own PCW,
84:08:00,0,84:20:00,0,Own PCA,GSO
83:57:00,48,84:22:00,48,Own GSO,on target - saved
84:13:00,4,84:23:00,4,Own PCW,
84:58:00,36,85:10:00,36,Own PCA,
85:22:00,4,85:48:00,4,Own BS4,CP
85:10:00,48,85:43:00,48,Own Circle possesion,Right - GSO - TO C
85:18:00,84,85:43:00,84,Own GSO,on target - saved
85:32:00,40,85:57:00,40,Own TO C,Counterattack
85:21:00,64,85:51:00,64,Opp Counter Attack,TO
85:38:00,28,86:03:00,28,Opp TO2,Right
85:26:00,84,85:56:00,84,Own counter attack,A25e
85:35:00,84,85:54:00,84,Own  A25 E,Centre Top - CP
85:27:00,20,86:00:00,20,Own Circle possesion,Left - TO C
85:46:00,0,86:11:00,0,Own TO C,
86:23:00,76,86:41:00,88,Opp BS1,Full Press - Retain
86:36:00,24,86:41:00,88,End,
