Start,End,Category,Descriptors
00:11,22,17:43,54,Q1,75 Press - A25e - Right - BS 4 - Long corner - TO - Right - Counterattack - A25e - Left - CP - Left - Retain - Opp HB ATT - CP - Left - TO C - TO - Right - BS 3 - Full Press - TO - Right - TO - Left - A25e - Counterattack - A25e - Right - CP - BLine R - Retain - Retain - BS 4 - Own HB ATT - TO - Left - TO - Right - BS 2 - 75 Press - TO - Left - BS 1 - Full Press - Retain - BS 2 - 75 Press - A25e - Right - Retain - Retain - BS 4 - Retain - CP - Right - PCW - GSO - on target - saved - Retain - Own HB ATT - Retain - A25e - Right - BS 4 - Own HB ATT - A25e - Left - CP - CP - Bline L - TO C - BS 1 - Full Press - Retain - BS 3 - A25e - Right - BS 4 - TO - Right - BS 1 - 75 Press - A25e - Right - BS 4 - TO - Right - Counterattack - TO - Left - TO - Right - Counterattack - TO - Centre Top - BS 3 - A25e - Right - CP - BLine R - GSO - on target - saved - TO C - Counterattack - TO - BS 2 - Full Press - Retain - BS 3 - 75 Press - A25e - Left - CP - Left - Retain - Centre Top - PCW - on target - saved - Left - TO C - Counterattack - A25e - Right - TO - Right - BS 1 - 75 Press - A25e - Left - TO - Left - BS 1 - 75 Press - TO - Centre Top - BS 1 - Deep Press - TO - Centre Top - BS 2 - Full Press - A25e - Right - TO - Right - Counterattack - A25e - Left - CP - Left - TO C - Retain - TO C - BS 1 - 75 Press - TO - Left - TO - Right - TO - Centre Top - Counterattack - A25e - Centre Top - CP - Left - TO C - TO - Right - Outlet - Counterattack - BS 3 - A25e - Left - BS 4 - Own HB ATT - TO - Left - TO - Right - Counterattack - A25e - Right - Retain - A25e - Left - TO - Left - BS 1 - Full Press - Retain - BS 1 - Full Press - TO - Right - Counterattack - A25e - Left - Left - BS 4 - Own HB ATT - A25e - Right - TO - Centre Top - TO - Left - BS 3 - 75 Press - TO - Centre Top - TO - Left - TO - Left - Counterattack - A25e - Right - BS 4 - CP - Right - GSO - off target - TO C - BS 1
11:46,36,12:19,36,Own Circle possesion,Left - TO C
12:12,92,12:37,92,Own TO C,BS 1
12:18,46,12:43,46,OPP Outlet,
12:17,90,12:43,90,OPP BS1,75 Press - TO
12:38,60,13:03,60,OPP TO2,Left - TO
12:46,14,13:11,14,Own TO3,Right - TO
12:54,22,13:19,22,OPP TO3,Centre Top - Counterattack
12:44,76,13:14,76,Own counter attack,A25e
12:55,38,13:14,38,Own  A25 E,Centre Top - CP
12:46,40,13:19,40,Own Circle possesion,Left - TO C
13:04,70,13:29,70,Own TO C,TO
13:12,56,13:37,56,OPP TO3,Right - Outlet - Counterattack
13:17,66,13:47,66,Own counter attack,A25e
13:32,34,14:01,74,Own  A25 E,Left - BS 4
13:57,20,14:23,20,Own BS4,Own HB ATT
14:01,54,14:21,54,Own HB ATT,TO
14:04,28,14:29,28,Own TO4,Left - TO
14:08,80,14:33,80,OPP TO2,Right - Counterattack
13:59,00,14:29,00,Own counter attack,A25e
14:10,34,14:31,66,Own  A25 E,Right - Retain
14:39,82,14:59,82,Own HB ATT,A25e
14:40,66,14:59,66,Own  A25 E,Left - TO
14:48,92,15:13,92,Own TO4,Left - BS 1
14:55,88,15:21,88,OPP BS1,Full Press - Retain - BS 1
15:07,54,15:33,54,OPP BS1,Full Press - TO
15:17,66,15:42,66,OPP TO2,Right - Counterattack
15:05,76,15:35,76,Own counter attack,A25e
15:16,48,15:35,48,Own  A25 E,Left - BS 4
15:29,56,15:55,56,Own BS4,Own HB ATT - A25e
15:37,54,15:57,54,Own HB ATT,
15:40,48,15:59,48,Own  A25 E,Right - TO
15:51,62,16:16,62,Own TO4,Centre Top - TO
16:02,72,16:27,72,OPP TO2,Left - BS 3
16:06,92,16:34,68,Own BS3,75 Press - TO
16:31,22,16:56,22,Own TO3,Centre Top - TO
16:35,98,17:00,98,OPP TO3,Left - TO
16:54,38,17:19,38,Own TO3,Left - Counterattack
16:45,12,17:15,12,Opp Counter Attack,A25e
16:57,18,17:16,18,Opp A25 E,Right - BS 4
17:19,38,17:45,38,OPP BS4,CP
17:14,02,17:48,02,Opp Circle Possession,Right - GSO - TO C
17:17,42,17:42,42,Opp GSO,off target
17:33,42,17:58,42,OPP TO C,BS 1
17:43,54,37:29,64,Q2,CP - Right - TO C - Counterattack - A25e - Left - CP - Left - PCW - on target - 75 Press - TO - Left - BS 1 - 75 Press - TO - Left - BS 3 - 75 Press - TO - Right - Counterattack - A25e - Left - CP - Left - Retain - Own HB ATT - TO - Right - Breach - Counterattack - A25e - Right - BS 4 - Retain - BS 4 - CP - BLine R - TO C - BS 1 - 75 Press - Counterattack - A25e - Centre Top - A25e - CP - Centre Top - GSO - off target - TO C - BS 1 - 75 Press - TO - Right - 75 Press - TO - Left - Counterattack - BS 3 - Full Press - A25e - Right - TO - Right - BS 1 - 75 Press - A25e - Left - TO - Left - BS 1 - Full Press - TO - Centre Top - Counterattack - A25e - Centre Top - Retain - BS 4 - Own HB ATT - A25e - Right - Retain - BS 3 - 75 Press - A25e - Right - BS 4 - TO - Centre Top - BS 1 - 75 Press - TO - Left - TO - Left - BS 2 - Full Press - TO - Left - Counterattack - A25e - Right - PCW - CP - Right - PCW - TO - BS 1 - Deep Press - TO - TO - Right - Retain - BS 3 - BS 3 - Retain - 75 Press - TO - Left - BS 1 - Deep Press - A25e - Left - BS 4 - Own HB ATT - TO - Left - BS 1 - 75 Press - TO - Centre Top - Counterattack - A25e - Right - BS 4 - Own HB ATT - A25e - Right - BS 4 - TO - Right - BS 1 - 75 Press - TO - Right - A25e - Right - TO - Left - Counterattack - Retain - A25e - Left - CP - Bline L - Retain - Own HB ATT - TO - Centre Top - TO - Left - Counterattack - A25e - Right - Right - Counterattack - BS 4 - Own HB ATT - TO - Left - Counterattack - A25e - Right - saved - Centre Top - BS 1 - Full Press - A25e - Right - TO - Right - BS 1 - Full Press - TO - Right - TO - Left - BS 3 - Deep Press - A25e - Left - Retain - TO - BS 2 - 75 Press - TO - Centre Top - Counterattack - Right - A25e - BS 4 - Retain - BS 4 - TO - Centre Top - Counterattack - A25e - Centre Top - TO - Centre Top - BS 1
17:44,82,18:11,54,OPP BS2,75 Press - TO
18:07,12,18:32,12,OPP TO3,Left - BS 1
18:11,88,18:37,88,Own BS1,75 Press - TO
18:24,82,18:49,82,Own TO2,Left - BS 3
18:30,26,18:56,26,OPP BS3,75 Press - TO
18:38,38,19:03,38,OPP TO4,Right - Counterattack
18:25,48,18:55,48,Own counter attack,A25e
18:40,00,18:59,00,Own  A25 E,Left - CP
18:34,24,19:07,24,Own Circle possesion,Left - Retain
18:59,82,19:26,40,Own BS4,Own HB ATT - TO
19:01,30,19:21,30,Own HB ATT,
19:23,18,19:48,18,Own TO3,Right - Counterattack
19:12,38,19:42,38,Opp Counter Attack,A25e
19:28,62,19:47,62,Opp A25 E,Right - BS 4
19:41,46,20:07,46,OPP BS4,Retain - BS 4
19:52,68,20:18,68,Own BS4,CP
20:00,58,20:25,58,OPP TO C,BS 1
19:46,26,20:20,26,Opp Circle Possession,BLine R - TO C
20:02,94,20:28,94,Own BS1,75 Press - Counterattack - A25e
19:54,50,20:24,50,Own counter attack,A25e
20:08,08,20:27,08,Own  A25 E,Centre Top - CP
19:59,46,20:32,46,Own Circle possesion,Centre Top - GSO - TO C
20:04,16,20:29,16,Own GSO,off target
20:16,92,20:41,92,Own TO C,BS 1
20:29,30,20:54,30,OPP Outlet,
20:29,52,20:55,52,OPP BS1,75 Press - TO
20:50,44,21:15,44,OPP TO3,Right
21:03,54,21:29,54,Own BS3,75 Press - TO
21:10,10,21:35,10,Own TO4,Left - Counterattack
21:03,06,21:33,06,Opp Counter Attack,BS 3
21:21,02,21:47,02,OPP BS3,Full Press - A25e
21:18,60,21:37,60,Opp A25 E,Right - TO
21:29,96,21:54,96,OPP TO4,Right - BS 1
21:42,38,22:07,38,Own Outlet,
21:41,78,22:15,70,Own BS1,75 Press - A25e
22:07,18,22:26,18,Own  A25 E,Left - TO
22:19,90,22:44,90,Own TO4,Left - BS 1
22:30,06,22:55,06,OPP Outlet,
22:31,22,22:57,22,OPP BS1,Full Press - TO
22:30,74,23:00,74,Own counter attack,A25e
22:41,00,23:00,00,Own  A25 E,Centre Top - Retain - BS 4
22:45,22,23:10,22,OPP TO2,Centre Top - Counterattack
22:59,16,23:26,96,Own BS4,Own HB ATT - A25e
23:19,52,23:39,52,Own HB ATT,
23:18,20,23:40,86,Own  A25 E,Right - Retain - BS 3
23:45,22,24:11,22,Own BS3,75 Press - A25e
23:53,02,24:12,02,Own  A25 E,Right - BS 4
24:02,56,24:28,56,Own BS4,TO
24:12,44,24:37,44,Own TO4,Centre Top - BS 1
24:20,02,24:45,02,OPP Outlet,
24:20,14,24:46,14,OPP BS1,75 Press - TO
24:37,26,25:02,26,OPP TO3,Left - TO
24:52,60,25:17,60,Own TO3,Left - BS 2
24:55,84,25:28,56,OPP BS2,Full Press - TO
25:23,56,25:48,56,OPP TO2,Left - Counterattack
25:10,56,25:40,56,Own counter attack,A25e
25:19,56,25:38,56,Own  A25 E,Right - PCW - CP
25:13,66,25:35,66,Own PCW,
26:39,92,26:51,92,Own PCA,TO
26:43,26,27:08,26,Own TO C,BS 1
26:45,78,27:11,78,OPP BS1,Deep Press - Retain - BS 3
26:39,96,27:09,96,Opp Counter Attack,BS 3 - Retain
27:04,96,27:30,96,OPP BS3,75 Press - TO
27:13,98,27:38,98,OPP TO4,Left - BS 1
27:22,50,27:47,50,Own Outlet,
27:22,38,27:49,36,Own BS1,Deep Press - A25e
27:41,00,28:00,00,Own  A25 E,Left - BS 4
27:57,56,28:23,56,Own BS4,Own HB ATT - TO
28:03,70,28:23,70,Own HB ATT,
28:15,82,28:40,82,Own TO4,Left - BS 1
28:21,96,28:47,96,OPP BS1,75 Press - TO
28:36,94,29:01,94,OPP TO2,Centre Top - Counterattack
28:28,30,28:58,30,Own counter attack,A25e
28:40,08,29:01,68,Own  A25 E,Right - BS 4
29:02,94,29:28,94,Own BS4,Own HB ATT
29:10,32,29:30,32,Own HB ATT,A25e
29:12,28,29:31,28,Own  A25 E,Right - BS 4
29:15,36,29:41,36,Own BS4,TO
29:20,84,29:45,84,Own TO4,Right - BS 1
29:36,14,30:02,14,OPP BS1,75 Press - A25e
29:48,28,30:14,18,Opp A25 E,Right - TO
30:09,76,30:34,76,OPP TO4,Left - Counterattack
29:58,82,30:28,82,Own counter attack,A25e
30:18,94,30:37,94,Own  A25 E,Left - CP
30:13,22,30:46,22,Own Circle possesion,Bline L - Retain
30:41,76,31:14,94,Own BS4,Own HB ATT - TO
30:50,10,31:10,10,Own HB ATT,
31:10,84,31:35,84,Own TO4,Centre Top - TO
31:03,14,31:33,14,Own counter attack,A25e - Right
